Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual Result),Custom field (Actual end),Custom field (Actual start),Custom field (Affected services),Custom field (Approvals),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Result),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Custom field (Responders),Satisfaction rating,Custom field (Satisfaction date),Custom field (Sentiment),Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Time to first response),Custom field (Time to resolution),Custom field (Total forms),Custom field (Vulnerability),Custom field (Work category),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Status Category,Status Category Changed
"Notes API, Get the list of all Notes - Default limit 50 not working",T12CA-266,30220,Bug,To Do,T12CA,T12. CRM APP,software,Cerebrum Hub,6202bc6d6ba61b006fb5463f,,High,,,,Birgit Tikk,70121:251cca08-93e7-417a-82c2-0a142984426d,Birgit Tikk,70121:251cca08-93e7-417a-82c2-0a142984426d,13/Sep/24 5:22 PM,17/Feb/25 7:33 AM,28/Dec/24 7:26 AM,,,0,Team1,"The limit parameter’s *default* value 50 should work. At the moment it does not show 50 notes by default.

*Steps:*

# Send GET request to url: {{https://cerebrumhubcrmlite.bubbleapps.io/api/1.1/obj/note}}

*Expected result:*

(/) 50 notes are displayed in a list(“count“: 50).

*Actual result:*

(x) All the notes are displayed in a list(“count“: 100).","Postman version: 11.11.1

OS: Windows 11 Home 23H2 22631.4037",Birgit Tikk,70121:251cca08-93e7-417a-82c2-0a142984426d,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7a2130b9,,,,,,,,,,,,,,,,,0|i035pb:,,,,,,,,,,,,,,,,,,,,,,To Do,13/Sep/24 5:22 PM
"Notes API, Get the list of all Notes - Cursor negative value wrong error",T12CA-265,30219,Bug,To Do,T12CA,T12. CRM APP,software,Cerebrum Hub,6202bc6d6ba61b006fb5463f,,Medium,,,,Birgit Tikk,70121:251cca08-93e7-417a-82c2-0a142984426d,Birgit Tikk,70121:251cca08-93e7-417a-82c2-0a142984426d,13/Sep/24 5:14 PM,17/Feb/25 7:33 AM,,,,0,Team1,"When cursor parameter is set to negative value -1, then the error message should state that the cursor cannot be a negative value.

*Steps:*

# Send GET request to url: {{https://cerebrumhubcrmlite.bubbleapps.io/api/1.1/obj/note?cursor=-1}}

*Expected result:*

(/) Cursor parameter with negative value -1 request shows an error stating that the cursor cannot be a negative value.

*Actual result:*

(x) Cursor parameter with negative value -1 request shows *500 Internal Server Error* as a result.

{noformat}{
    ""error_class"": ""UnexpectedError"",
    ""args"": {
        ""code"": ""1726235814203x311573438335203600""
    },
    ""message"": ""Sorry, we ran into a temporary bug and can't complete your request. We'll fix it as soon as we can; please try again in a bit!""
}{noformat}","Postman version: 11.11.1

OS: Windows 11 Home 23H2 22631.4037",Birgit Tikk,70121:251cca08-93e7-417a-82c2-0a142984426d,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5afe3060,,,,,,,,,,,,,,,,,0|i035p3:,,,,,,,,,,,,,,,,,,,,,,To Do,13/Sep/24 5:14 PM
"Deals API, Get the list of all Deals - Cursor negative value wrong error",T12CA-264,30218,Bug,To Do,T12CA,T12. CRM APP,software,Cerebrum Hub,6202bc6d6ba61b006fb5463f,,Medium,,,,Birgit Tikk,70121:251cca08-93e7-417a-82c2-0a142984426d,Birgit Tikk,70121:251cca08-93e7-417a-82c2-0a142984426d,13/Sep/24 5:09 PM,17/Feb/25 8:03 AM,,,,0,Team1,"When cursor parameter is set to negative value -1, then the error message should state that the cursor cannot be a negative value.

*Steps:*

# Send GET request to url: {{https://cerebrumhubcrmlite.bubbleapps.io/api/1.1/obj/deal?cursor=-1}}

*Expected result:*

(/) Cursor parameter with negative value -1 request shows an error stating that the cursor cannot be a negative value.

*Actual result:*

(x) Cursor parameter with negative value -1 request shows *500 Internal Server Error* as a result.

{noformat}{
    ""error_class"": ""UnexpectedError"",
    ""args"": {
        ""code"": ""1726235814203x311573438335203600""
    },
    ""message"": ""Sorry, we ran into a temporary bug and can't complete your request. We'll fix it as soon as we can; please try again in a bit!""
}{noformat}","Postman version: 11.11.1

OS: Windows 11 Home 23H2 22631.4037",Birgit Tikk,70121:251cca08-93e7-417a-82c2-0a142984426d,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@279f02c4,,,,,,,,,,,,,,,,,0|i035ov:,,,,,,,,,,,,,,,,,,,,,,To Do,13/Sep/24 5:09 PM
"Funnels API, Get the list of all Funnels - Cursor negative value wrong error",T12CA-263,30217,Bug,To Do,T12CA,T12. CRM APP,software,Cerebrum Hub,6202bc6d6ba61b006fb5463f,,Medium,,,,Birgit Tikk,70121:251cca08-93e7-417a-82c2-0a142984426d,Birgit Tikk,70121:251cca08-93e7-417a-82c2-0a142984426d,13/Sep/24 5:03 PM,17/Feb/25 8:22 AM,28/Dec/24 7:25 AM,,,0,Team1,"When cursor parameter is set to negative value -5, then the error message should state that the cursor cannot be a negative value.

*Steps:*

# Send GET request to url: {{https://cerebrumhubcrmlite.bubbleapps.io/api/1.1/obj/funnel?cursor=-5}}

*Expected result:*

(/) Cursor parameter with negative value -5 request shows an error stating that the cursor cannot be a negative value.

*Actual result:*

(x) Cursor parameter with negative value -5 request shows *500 Internal Server Error* as a result.

{noformat}{
    ""error_class"": ""UnexpectedError"",
    ""args"": {
        ""code"": ""1726235814203x311573438335203600""
    },
    ""message"": ""Sorry, we ran into a temporary bug and can't complete your request. We'll fix it as soon as we can; please try again in a bit!""
}{noformat}","Postman version: 11.11.1

OS: Windows 11 Home 23H2 22631.4037",Birgit Tikk,70121:251cca08-93e7-417a-82c2-0a142984426d,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5ce8d5ea,,,,,,,,,,,,,,,,,0|i035on:,,,,,,,,,,,,,,,,,,,,,,To Do,13/Sep/24 5:03 PM
"Magicuser API, Get the list of all Magicusers - Cursor negative value wrong error",T12CA-261,30215,Bug,To Do,T12CA,T12. CRM APP,software,Cerebrum Hub,6202bc6d6ba61b006fb5463f,,Medium,,,,Birgit Tikk,70121:251cca08-93e7-417a-82c2-0a142984426d,Birgit Tikk,70121:251cca08-93e7-417a-82c2-0a142984426d,13/Sep/24 4:57 PM,17/Feb/25 8:22 AM,,,,0,Team1,"When cursor parameter is set to negative value -20, then the error message should state that the cursor cannot be a negative value.

*Steps:*

# Send GET request to url: {{https://cerebrumhubcrmlite.bubbleapps.io/api/1.1/obj/magicuser?cursor=-20}}

*Expected result:*

(/) Cursor parameter with negative value -20 request shows an error stating that the cursor cannot be a negative value.

*Actual result:*

(x) Cursor parameter with negative value -20 request shows *500 Internal Server Error* as a result.

{noformat}{
    ""error_class"": ""UnexpectedError"",
    ""args"": {
        ""code"": ""1726235814203x311573438335203600""
    },
    ""message"": ""Sorry, we ran into a temporary bug and can't complete your request. We'll fix it as soon as we can; please try again in a bit!""
}{noformat}","Postman version: 11.11.1

OS: Windows 11 Home 23H2 22631.4037",Birgit Tikk,70121:251cca08-93e7-417a-82c2-0a142984426d,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7a0140f0,,,,,,,,,,,,,,,,,0|i035o7:,,,,,,,,,,,,,,,,,,,,,,To Do,13/Sep/24 4:57 PM
"Funnels API, Stages API - no validations in the documentation",T12CA-256,30210,Bug,To Do,T12CA,T12. CRM APP,software,Cerebrum Hub,6202bc6d6ba61b006fb5463f,,Critical,,,,Birgit Tikk,70121:251cca08-93e7-417a-82c2-0a142984426d,Birgit Tikk,70121:251cca08-93e7-417a-82c2-0a142984426d,13/Sep/24 3:55 PM,17/Feb/25 7:33 AM,,,,0,Team1,"There are no validations about mandatory fields for both Funnels and Stages API. Can’t test certain requests, as it is not clear which fields are mandatory and which are not.

*Steps :*

# Go to the following url: [https://cerebrumhubstudents.atlassian.net/wiki/spaces/T12CA/pages/919502979/Funnels+and+Stages+API|https://cerebrumhubstudents.atlassian.net/wiki/spaces/T12CA/pages/919502979/Funnels+and+Stages+API|smart-link] 
# Observe that there are no validations for mandatory fields for both Funnels and Stages API

*Expected result:*

(/) There are sections about validations of mandatory fields for both Funnels and Stages API in the documentation.

*Actual result:*

(x) There are no validations for mandatory fields for both Funnels and Stages API in the documentation.","Postman version: 11.11.1

OS: Windows 11 Home 23H2 22631.4037",Birgit Tikk,70121:251cca08-93e7-417a-82c2-0a142984426d,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1fb7376c,,,,,,,,,,,,,,,,,0|i035n3:,,,,,,,,,,,,,,,,,,,,,,To Do,13/Sep/24 3:55 PM
"Leads API, Get Lead by ID - works with no authorization",T12CA-238,30186,Bug,To Do,T12CA,T12. CRM APP,software,Cerebrum Hub,6202bc6d6ba61b006fb5463f,,High,,,,Birgit Tikk,70121:251cca08-93e7-417a-82c2-0a142984426d,Birgit Tikk,70121:251cca08-93e7-417a-82c2-0a142984426d,13/Sep/24 1:06 AM,17/Feb/25 8:03 AM,,,,0,Team1,"Get Lead by ID - no authorization is required to request the lead by id.

*Precondition:* A lead with unique ID exists

*Steps:*

# Send GET request to url without entering the token: {{https://cerebrumhubcrmlite.bubbleapps.io/api/1.1/obj/lead/:UniqueID}}

*Expected result:*

(/) Error message 401 Unauthorized, no permission to get the lead by id without authorization.

*Actual result:*

(x) Lead’s data is displayed in response, no errors shown.","Postman version: 11.11.1

OS: Windows 11 Home 23H2 22631.4037",Birgit Tikk,70121:251cca08-93e7-417a-82c2-0a142984426d,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2a621e6c,,,,,,,,,,,,,,,,,0|i035in:,,,,,,,,,,,,,,,,,,,,,,To Do,13/Sep/24 1:06 AM
"Notes API, Modify Note data - possible to modify a note with empty body",T12CA-214,30156,Bug,To Do,T12CA,T12. CRM APP,software,Cerebrum Hub,6202bc6d6ba61b006fb5463f,,High,,,,Birgit Tikk,70121:251cca08-93e7-417a-82c2-0a142984426d,Birgit Tikk,70121:251cca08-93e7-417a-82c2-0a142984426d,10/Sep/24 3:53 AM,17/Feb/25 7:33 AM,,,,0,Team1,"It is possible to modify a note with empty body. Content_text field is mandatory and must have a string as data type.

*Precondition:* A note with unique ID exists

*Steps:*

# Send PATCH request to url: {{https://cerebrumhubcrmlite.bubbleapps.io/api/1.1/obj/note/:UniqueID}}

with any existing note’s ID in the params

{noformat}{
}{noformat}

*Expected result:*

(/) PATCH Modify Note data with an empty body does not work. Error message 400 is shown indicating missing required field.

*Actual result:*

(x) PATCH Modify Note data with an empty body works. No errors shown.","Postman version: 11.11.1

OS: Windows 11 Home 23H2 22631.4037",Birgit Tikk,70121:251cca08-93e7-417a-82c2-0a142984426d,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@69614182,,,,,,,,,,,,,,,,,0|i035cn:,,,,,,,,,,,,,,,,,,,,,,To Do,10/Sep/24 3:53 AM
"Notes API, Modify Note data - possible to modify a note with an empty mandatory field",T12CA-213,30155,Bug,To Do,T12CA,T12. CRM APP,software,Cerebrum Hub,6202bc6d6ba61b006fb5463f,,High,,,,Birgit Tikk,70121:251cca08-93e7-417a-82c2-0a142984426d,Birgit Tikk,70121:251cca08-93e7-417a-82c2-0a142984426d,10/Sep/24 3:48 AM,17/Feb/25 7:33 AM,,,,0,Team1,"It is possible to modify a note with empty field(content_text). The field is mandatory and must have a string as data type.

*Precondition:* A note with unique ID exists

*Steps:*

# Send PATCH request to url: {{https://cerebrumhubcrmlite.bubbleapps.io/api/1.1/obj/note/:UniqueID}}

with any existing note’s ID in the params

{noformat}{
  ""content_text"": """"
}{noformat}

*Expected result:*

(/) PATCH Modify Note data with an empty mandatory field does not work. Error message 400 is shown indicating missing required field data input.

*Actual result:*

(x) PATCH Modify Note data with an empty mandatory field works. No errors shown.","Postman version: 11.11.1

OS: Windows 11 Home 23H2 22631.4037",Birgit Tikk,70121:251cca08-93e7-417a-82c2-0a142984426d,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@73bc8ec1,,,,,,,,,,,,,,,,,0|i035cf:,,,,,,,,,,,,,,,,,,,,,,To Do,10/Sep/24 3:48 AM
"Notes API, Create new Note - possible to create a new note with empty body",T12CA-212,30154,Bug,To Do,T12CA,T12. CRM APP,software,Cerebrum Hub,6202bc6d6ba61b006fb5463f,,Critical,,,,Birgit Tikk,70121:251cca08-93e7-417a-82c2-0a142984426d,Birgit Tikk,70121:251cca08-93e7-417a-82c2-0a142984426d,10/Sep/24 3:42 AM,17/Feb/25 7:33 AM,,,,0,Team1,"It is possible to create new note with empty body. Content_text field is mandatory and must have a string as data type.

*Steps:*

# Send POST request to url: {{https://cerebrumhubcrmlite.bubbleapps.io/api/1.1/obj/note}}

{noformat}{
}{noformat}

*Expected result:*

(/) POST Create new Note with an empty body does not work. Error message 400 is shown indicating missing required field.

*Actual result:*

(x) POST Create new Note with an empty body works. No errors shown.","Postman version: 11.11.1

OS: Windows 11 Home 23H2 22631.4037",Birgit Tikk,70121:251cca08-93e7-417a-82c2-0a142984426d,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@192f0f4f,,,,,,,,,,,,,,,,,0|i035c7:,,,,,,,,,,,,,,,,,,,,,,To Do,10/Sep/24 3:42 AM
